word	weight
cagubnya	0
cahyadi	0
cahyadiarmuji	0
cak	0
cakada	0
cakadacawakada	0
call	0
calon	0
calonnnya	0
calonnya	0
camat	0
campaign	0
campus	0
cantiq	0
cara	0
cat	0
catat	0
catatan	0
cawagub	0
cawakada	0
cawecawe	0
cctv	0
cd	0
cederai	0
center	0
centre	0
cerdas	0
cetak	0
chamber	0
chanel	0
change	0
chelsea	0
chepto	0
china	0
chirp	0
choirul	0
cholil	0
cilik	0
cipayung	0
cipta	0
ciptakan	0
cita	0
city	0
civitas	0
clinic	0
closing	0
club	0
cnn	0
coaching	0
coblos	0
coblosan	0
coblosnya	0
coklit	0
coloun	0
colour	0
com	0
comedy	0
coment	0
community	0
competition	0
confirm	0
contong	0
convention	0
convex	0
cooling	0
corak	0
cs	0
cyber	0
dadang	0
daerah	0
daerahdaerah	0
daftarkan	0
dakwah	0
dalmas	0
damai	0
daman	0
dampingi	0
dan	0
danatau	0
daniel	0
danrem	0
dapil	0
dardak	0
daring	0
darmo	0
dasar	0
dau	0
dawami	0
daya	0
dbl	0
deddi	0
deddy	0
dedikasi	0
dedmul	0
dedy	0
definitif	0
deg	0
deh	0
dekati	0
deklarasikan	0
demi	0
demokrasi	0
demokrat	0
demokratis	0
dengan	0
denny	0
deny	0
depan	0
depat	0
dermawan	0
desa	0
desakelurahan	0
desalurah	0
desi	0
detikcom	0
dewanata	0
dewekam	0
dewekan	0
dgn	0
dh	0
dhirotsaha	0
dhito	0
dhitodewi	0
di	0
diadakan	0
diakses	0
diakuinya	0
dialogis	0
diamanati	0
dianggap	0
diantoro	0
diaplikasikan	0
diatas	0
diawali	0
dibabat	0
dibagi	0
dibahas	0
dibanding	0
dibandingkan	0
dibatasi	0
dibayangkan	0
diberi	0
diberikan	0
dibio	0
dibuat	0
dibuka	0
dibulan	0
dibutuhkan	0
dicontoh	0
didamping	0
didampingi	0
didasari	0
didasarkan	0
didatangi	0
diddy	0
didekati	0
didoakan	0
didongkrak	0
didorong	0
diduga	0
didukung	0
dieluelukan	0
digagalkan	0
digagas	0
diganti	0
digeber	0
digelar	0
digeledah	0
digenjot	0
digerakkan	0
digeser	0
digiring	0
digital	0
digunakan	0
digusur	0
diguyur	0
dihadapi	0
dihadiri	0
diharapkan	0
dihindari	0
diikuti	0
diinisiasi	0
diisukan	0
dijadwalkan	0
dijalani	0
dijalankan	0
dijatah	0
dijuluki	0
dikatakannya	0
dikawal	0
dike	0
dikeluarkan	0
dikenal	0
dikeroyok	0
dikerumuni	0
diketahui	0
dikhawatirkan	0
dikirab	0
diklaim	0
dikutip	0
dilaksanakan	0
dilakukan	0
dilakukannya	0
dilaman	0
dilampiaskan	0
dilangsungkan	0
dilanjutkan	0
dilantiknya	0
diliput	0
diluar	0
diluncurkan	0
dimaksud	0
dimaksudkan	0
dimana	0
dimanfaatkan	0
dimenangi	0
dimenangkan	0
dimobilisasi	0
dinamikanya	0
dinanti	0
dinarasikan	0
dinas	0
dini	0
dinilai	0
diniyah	0
dino	0
dinyatakan	0
diobrakabrik	0
dipadukan	0
dipahami	0
dipakai	0
dipasangkan	0
dipastikan	0
dipasuruan	0
dipegang	0
dipercepat	0
diperhtungkan	0
dipertahankan	0
dipertanggungjawabkan	0
dipertanyakan	0
dipertemukan	0
dipertontonkan	0
dipilih	0
diponegoro	0
dipostingan	0
diprediksi	0
dipungkiri	0
dirahasiakan	0
diraih	0
diramaikan	0
dirbinmas	0
direalisasikan	0
direkomendasikan	0
direncanakan	0
diresmikan	0
dirham	0
dirikan	0
dirintelkam	0
dirminto	0
dirreskrimum	0
disabilitas	0
disambut	0
disampaikan	0
disandera	0
disapa	0
discussion	0
disdikprov	0
disebabkan	0
disebarluaskan	0
disebut	0
disediakan	0
diselenggarakan	0
diserahkan	0
diserahterimakan	0
disertai	0
disertakan	0
disesuaikan	0
disiapkan	0
